iter	RMSE
204	73792.31157
205	73572.74493
206	73517.86268
207	73456.03614
208	73290.24423
209	73239.33531
210	73041.27229
211	72991.05215
212	72839.28677
213	72580.48291
214	72449.99946
215	72398.80773
216	72344.24833
217	72179.69493
218	71954.76226
219	71814.3392
220	71601.22038
221	71549.57391
222	71404.25856
223	71249.88011
224	71072.11245
225	70862.82419
226	70739.39437
227	70650.59221
228	70400.41528
229	70253.39656
230	70209.37395
231	70061.26495
232	69850.794
233	69802.07413
234	69738.182
235	69695.73463
236	69504.08644
237	69376.97449
238	69230.66706
239	69044.4355
240	68898.18307
241	68715.9004
242	68577.30096
243	68401.70676
244	68294.94545
245	68105.19124
246	67995.48989
247	67946.37395
248	67830.87379
249	67660.20758
250	67537.51473
251	67408.5555
252	67365.52532
253	67260.28494
254	67218.16856
255	67101.93054
256	66941.61538
257	66778.21783
258	66626.82115
259	66592.05224
260	66445.98486
261	66246.82586
262	66104.16523
263	66070.68214
264	65950.91389
265	65782.64756
266	65671.40377
267	65631.27472
268	65593.12982
269	65561.39055
270	65524.30877
271	65433.70606
272	65397.75394
273	65284.57495
274	65161.16083
275	65056.63853
276	65021.77547
277	64973.03219
278	64937.13128
279	64861.65125
280	64802.0211
281	64663.92501
282	64631.15592
283	64534.60128
284	64493.92214
285	64376.92944
286	64237.58763
287	64153.46617
288	64125.99093
289	63987.21517
290	63960.75937
291	63863.54064
292	63714.39838
293	63599.58262
294	63440.86809
295	63414.55901
296	63277.03379
297	63198.15332
298	63102.57354
299	63073.23518
300	63047.70128
301	63022.86254
302	62994.98333
303	62967.88867
304	62910.21382
305	62771.12544
306	62657.35381
307	62522.80422
308	62387.37714
309	62241.48519
310	62157.0225
311	62130.72283
312	62107.22876
313	61983.149
314	61881.89352
315	61807.17045
316	61785.98253
317	61670.58531
318	61588.64779
319	61465.83193
320	61327.84219
321	61202.03227
322	61138.86333
323	61035.19195
324	60918.07916
325	60800.48915
326	60665.34932
327	60610.23339
328	60502.96343
329	60465.59652
330	60426.29223
331	60349.83234
332	60206.52856
333	60182.3645
334	60051.34412
335	59944.85379
336	59811.20878
337	59737.65673
338	59714.01766
339	59691.17932
340	59591.847
341	59499.47543
342	59421.72119
343	59322.09405
344	59212.49704
345	59193.68389
346	59092.93011
347	59023.96626
348	58939.8007
349	58864.13854
350	58805.54759
351	58723.8204
352	58690.51839
353	58615.25853
354	58594.74234
355	58495.45586
356	58472.98644
357	58364.90017
358	58324.49398
359	58215.70433
360	58199.18385
361	58058.404
362	58026.58762
363	57939.95078
364	57889.1488
365	57774.97066
366	57691.68638
367	57611.1494
368	57532.88254
369	57507.20003
370	57424.95441
371	57312.41277
372	57286.01521
373	57202.69545
374	57183.57501
375	57163.95324
376	57098.42707
377	57078.42429
378	57001.85019
379	56937.32452
380	56874.67163
381	56856.49779
382	56806.00202
383	56786.88918
384	56676.18471
385	56612.16979
386	56527.0689
387	56436.28233
388	56318.43936
389	56292.54529
390	56275.83653
391	56220.74649
392	56181.18241
393	56075.1626
394	56037.89621
395	55932.00212
396	55916.58356
397	55893.8529
398	55807.47612
399	55727.20544
400	55684.01218
401	55604.55506
402	55516.59471
403	55454.09033
404	55365.16426
405	55335.05278
406	55263.26456
407	55178.65953
408	55107.61954
409	55030.74691
410	55014.75121
411	54993.59258
412	54934.59703
413	54905.68023
414	54853.18805
415	54799.26974
416	54774.28874
417	54722.57305
418	54688.65153
419	54624.91411
420	54591.46513
421	54540.04197
422	54465.54412
423	54368.81488
424	54288.80087
425	54211.57181
426	54135.56584
427	54058.06754
428	53982.10856
429	53921.45082
430	53904.11461
431	53846.68364
432	53822.32245
433	53739.79987
434	53720.86601
435	53666.66317
436	53649.16664
437	53623.40926
438	53568.5622
439	53549.23791
440	53532.50333
441	53460.21082
442	53403.1377
443	53328.72398
444	53265.0638
445	53195.03953
446	53141.7662
447	53071.50393
448	53055.43197
449	52975.7363
450	52910.56019
451	52892.22611
452	52830.08094
453	52794.35018
454	52775.51263
455	52698.1965
456	52680.35589
457	52616.80686
458	52590.52434
459	52528.34168
460	52515.94063
461	52469.76937
462	52402.51437
463	52337.89402
464	52315.75917
465	52300.06141
466	52252.91335
467	52229.02779
468	52178.43926
469	52126.71744
470	52061.38466
471	52012.37996
472	51954.57819
473	51885.89536
474	51837.59418
475	51771.50226
476	51728.55278
477	51688.77811
478	51615.40068
479	51602.17521
480	51576.52028
481	51520.86874
482	51509.09251
483	51429.8928
484	51353.32244
485	51292.67155
486	51261.1483
487	51199.86987
488	51181.00438
489	51129.63672
490	51113.6464
491	51104.35453
492	51085.3237
493	51076.13853
494	51025.56602
495	50974.49601
496	50944.32362
497	50927.58171
498	50888.85235
499	50839.51941
500	50813.24336
501	50802.60874
502	50752.84392
503	50704.56804
504	50638.95865
505	50574.70665
506	50509.12192
507	50433.47803
508	50423.80578
509	50366.57033
510	50320.38973
511	50313.0037
512	50290.16681
513	50255.71353
514	50198.28222
515	50151.75271
516	50132.73475
517	50088.74372
518	50071.08517
519	50025.50803
520	49966.18278
521	49914.62921
522	49905.90003
523	49861.22285
524	49816.96537
525	49805.81895
526	49754.70304
527	49695.02204
528	49641.44984
529	49587.15261
530	49568.61042
531	49528.0581
532	49513.76318
533	49484.93651
534	49447.56884
535	49403.0033
536	49347.18008
537	49333.06952
538	49275.04679
539	49230.42795
540	49217.03212
541	49194.64372
542	49156.96326
543	49111.35415
544	49046.70622
545	49038.51473
546	49001.40909
547	48982.83504
548	48973.01237
549	48951.06873
550	48901.53098
551	48857.94374
552	48807.64247
553	48785.30663
554	48770.80222
555	48734.48696
556	48705.89605
557	48635.67158
558	48607.27795
559	48552.31737
560	48535.01602
561	48517.51764
562	48472.56999
563	48428.57597
564	48398.41179
565	48346.3738
566	48294.25344
567	48273.24259
568	48246.15636
569	48238.31899
570	48211.34355
571	48194.1899
572	48174.27579
573	48166.5785
574	48132.55038
575	48126.12347
576	48101.87828
577	48041.15401
578	48004.64624
579	47981.226
580	47919.81581
581	47883.31833
582	47839.74804
583	47818.61109
584	47776.9359
585	47764.60698
586	47706.55154
587	47666.30098
588	47658.47581
589	47636.10592
590	47626.71519
591	47619.6219
592	47612.70111
593	47554.98591
594	47530.45126
595	47510.76176
596	47503.55198
597	47456.5823
598	47388.57015
599	47382.31141
600	47376.4494
601	47364.71333
602	47356.14722
603	47349.27768
604	47342.82519
605	47300.78432
606	47294.21578
607	47288.04167
608	47282.31149
609	47267.43782
610	47260.12199
611	47223.15723
612	47218.33137
613	47180.71238
614	47168.79607
615	47116.84637
616	47081.89211
617	47025.80731
618	46982.82186
619	46963.01287
620	46917.07978
621	46898.85462
622	46834.33656
623	46781.0203
624	46730.43932
625	46681.88062
626	46655.2076
627	46642.807
628	46593.42613
629	46557.34246
630	46526.14451
631	46516.1125
632	46485.16811
633	46452.27941
634	46443.7176
635	46419.37641
636	46385.15655
637	46353.52185
638	46314.21327
639	46266.47896
640	46243.28307
641	46200.56231
642	46195.12855
643	46177.49182
644	46143.46099
645	46111.61325
646	46066.3293
647	46007.82918
648	45990.91337
649	45960.21079
650	45922.32055
651	45891.79124
652	45882.80981
653	45866.96179
654	45812.04721
655	45785.30942
656	45735.01672
657	45726.84718
658	45714.18405
659	45654.99384
660	45593.2522
661	45576.5129
662	45537.43905
663	45532.62193
664	45500.46296
665	45495.16317
666	45490.54176
667	45459.99349
668	45436.17201
669	45430.94872
670	45426.53508
671	45414.07647
672	45394.95244
673	45346.11284
674	45334.65584
675	45321.42105
676	45308.64703
677	45300.67441
678	45296.38383
679	45264.46188
680	45255.92414
681	45247.62832
682	45239.51936
683	45229.39587
684	45197.23324
685	45157.87424
686	45149.14821
687	45140.91279
688	45131.96447
689	45075.54169
690	45067.59686
691	45055.28589
692	45042.32542
693	45034.28019
694	44983.51222
695	44967.19316
696	44934.69818
697	44930.8532
698	44893.0323
699	44855.85032
700	44802.28696
701	44779.66336
702	44772.05284
703	44737.7528
704	44699.81138
705	44685.76047
706	44648.53087
707	44595.43311
708	44543.23914
709	44539.48488
710	44519.1373
711	44470.55388
712	44442.71274
713	44405.27947
714	44397.91882
715	44380.36295
716	44363.37195
717	44323.53687
718	44270.3511
719	44226.42295
720	44198.21981
721	44166.51721
722	44146.9646
723	44123.22905
724	44098.64428
725	44087.90316
726	44076.2445
727	44035.80527
728	44004.25048
729	43965.60153
730	43945.54478
731	43906.0727
732	43870.49165
733	43843.32679
734	43838.64407
735	43812.24443
736	43776.33251
737	43740.43042
738	43727.30511
739	43696.89575
740	43693.16869
741	43686.74394
742	43679.58134
743	43632.39607
744	43578.8573
745	43528.44912
746	43488.16186
747	43471.18668
748	43424.45173
749	43415.28552
750	43381.99583
751	43351.296
752	43342.48867
753	43331.61751
754	43304.02378
755	43280.1457
756	43255.4891
757	43228.60831
758	43183.74886
759	43157.30952
760	43128.59082
761	43090.6718
762	43060.64169
763	43048.65392
764	43020.00184
765	42981.39813
766	42951.53189
767	42943.13875
768	42903.30403
769	42883.47573
770	42842.14556
771	42803.34632
772	42794.69539
773	42775.23949
774	42760.73958
775	42731.95372
776	42689.77812
777	42663.11339
778	42634.59082
779	42597.16384
780	42571.7132
781	42533.38586
782	42521.65043
783	42515.25369
784	42488.78699
785	42482.49715
786	42470.53501
787	42453.65485
788	42425.42754
789	42382.93434
790	42346.30043
791	42330.66965
792	42321.47029
793	42310.98037
794	42304.97331
795	42281.24575
796	42249.82875
797	42205.94316
798	42180.6679
799	42130.64503
800	42090.49336
801	42053.19728
802	42040.39845
803	42007.04953
804	41970.9954
805	41966.80874
806	41941.85964
807	41898.4312
808	41892.70735
809	41886.0395
810	41878.87417
811	41850.94204
812	41824.53069
813	41795.77677
814	41759.61042
815	41748.0163
816	41728.84356
817	41694.18072
818	41683.8493
819	41676.72845
820	41639.96125
821	41633.67703
822	41620.03553
823	41590.80929
824	41579.78686
825	41557.13427
826	41538.06789
827	41504.40627
828	41468.4768
829	41450.82495
830	41427.93648
831	41394.11234
832	41370.35436
833	41358.09948
834	41331.54342
835	41305.9758
836	41288.8854
837	41267.30633
838	41244.99612
839	41238.14109
840	41221.60288
841	41186.95086
842	41181.75245
843	41175.6707
844	41153.99846
845	41135.28842
846	41122.85868
847	41107.73426
848	41104.04324
849	41090.92447
850	41076.22416
851	41071.37827
852	41062.88242
853	41059.12886
854	41055.72957
855	41044.85802
856	41038.08819
857	41027.71512
858	41024.34945
859	41021.06549
860	41017.86044
861	41014.73132
862	40999.00401
863	40988.42483
864	40985.18848
865	40964.45652
866	40948.54225
867	40937.22868
868	40906.34753
869	40885.66051
870	40879.35329
871	40848.43191
872	40824.03592
873	40786.80526
874	40780.68832
875	40751.19939
876	40719.19299
877	40706.00819
878	40697.43885
879	40671.9844
880	40669.00809
881	40650.75814
882	40620.70265
883	40617.71873
884	40604.51199
885	40601.57682
886	40583.17057
887	40553.05625
888	40539.35442
889	40534.45618
890	40512.89917
891	40479.69172
892	40467.95063
893	40465.15205
894	40449.8922
895	40438.71768
896	40436.00046
897	40419.14772
898	40408.05976
899	40377.42584
900	40361.4605
901	40340.65743
902	40314.98891
903	40312.33676
904	40283.26736
905	40256.27706
906	40240.8751
907	40218.24056
908	40185.81858
909	40167.55557
910	40162.13465
911	40152.46009
912	40144.57941
913	40107.67208
914	40076.73131
915	40045.30021
916	40039.83734
917	40021.81442
918	39986.42811
919	39960.5866
920	39941.62431
921	39932.9786
922	39915.16265
923	39897.33244
924	39889.44103
925	39866.43111
926	39862.24623
927	39844.17492
928	39813.22738
929	39806.1456
930	39789.92711
931	39776.96707
932	39774.38315
933	39753.55686
934	39742.9833
935	39737.72344
936	39730.13389
937	39707.99625
938	39684.16727
939	39653.43397
940	39646.25868
941	39643.56341
942	39609.65177
943	39603.86856
944	39599.61299
945	39578.72718
946	39546.94789
947	39539.46087
948	39521.95532
949	39498.15731
950	39484.16798
951	39456.92027
952	39452.69875
953	39447.91998
954	39425.13656
955	39421.13815
956	39409.7826
957	39400.80875
958	39394.36558
959	39369.46562
960	39352.89354
961	39333.79877
962	39324.93742
963	39319.75944
964	39315.146
965	39308.8657
966	39280.9709
967	39251.47052
968	39233.68385
969	39225.72101
970	39208.01332
971	39195.46374
972	39184.55544
973	39160.6764
974	39144.40758
975	39123.25494
976	39106.71162
977	39104.14212
978	39087.20729
979	39070.04529
980	39035.10144
981	39016.57116
982	39003.80757
983	39000.09607
984	38980.60637
985	38975.91205
986	38958.8906
987	38943.12615
988	38924.34436
989	38912.96398
990	38909.09032
991	38903.8903
992	38875.05748
993	38858.69185
994	38854.57612
995	38829.87964
996	38825.34515
997	38813.15078
998	38810.65452
999	38777.02306
